439.06:0.6702,878.52:0.3813,878.91:0.3380,878.12:0.3178,4637.11:0.3167,439.84:0.2603,439.45:0.2418,4636.72:0.2385,1317.58:0.1756,4637.89:0.1728,40.23:9.8063,40.62:4.8261,39.84:2.2477,41.02:2.0221,39.45:1.4081,41.41:1.2574,39.06:0.9533,41.80:0.9161,42.19:0.7480,38.67:0.6365,268.36:0.5896,439.06:0.2697,1158.98:0.2205,4637.11:0.2062,2319.14:0.1841,4636.72:0.1565,878.52:0.1543,2316.80:0.1421,878.91:0.1418,1317.58:0.1317,878.52:1.1269,878.91:1.0407,878.12:0.9559,1158.98:0.8962,1317.58:0.7822,439.06:0.7644,890.62:0.6366,268.36:0.5657,1317.97:0.4636,1159.38:0.4391,268.36:0.4184,878.52:0.3936,878.91:0.3587,4637.11:0.3367,878.12:0.3224,1317.58:0.2927,4636.72:0.2623,4641.41:0.1948,4641.02:0.1855,1317.97:0.1851,268.36:0.3845,439.06:0.3646,3477.73:0.3495,2319.14:0.3437,3478.12:0.2941,2316.80:0.2938,2317.97:0.2718,3479.69:0.2498,2320.70:0.2471,3480.08:0.2353,1317.58:0.9672,878.52:0.8374,878.91:0.7484,878.12:0.7150,439.06:0.6728,3477.73:0.6681,890.62:0.5952,1317.97:0.5668,3478.12:0.5624,1318.75:0.4759,119.92:0.3325,39.84:0.3239,80.08:0.2790,159.77:0.2774,239.84:0.2041,79.69:0.1807,200.00:0.1732,279.69:0.1600,199.61:0.1589,40.23:0.1418,1124.61:0.3259,1125.39:0.2906,878.12:0.2903,878.91:0.2805,878.52:0.2740,439.06:0.2515,549.61:0.2451,1125.78:0.2291,1309.77:0.2240,1125.00:0.2239
878.52:0.3110,878.12:0.2744,878.91:0.2744,439.45:0.2423,4635.55:0.2287,4634.77:0.1951,268.36:0.1670,4635.94:0.1653,879.30:0.1618,4636.33:0.1602,40.62:12.4122,40.23:5.3396,41.02:2.7694,39.84:2.2194,41.41:1.5893,39.45:1.4125,41.80:1.1101,39.06:1.0581,38.67:0.8817,42.19:0.8666,268.36:0.5962,2316.80:0.4237,439.45:0.4166,2318.36:0.4035,2317.58:0.3949,2315.62:0.3420,2319.14:0.3206,2319.92:0.3141,268.75:0.3115,2316.02:0.2736,1159.38:0.9052,878.52:0.7373,1158.98:0.7101,878.12:0.6473,1159.77:0.6414,878.91:0.6372,268.36:0.5295,1157.81:0.4201,439.45:0.4076,1147.27:0.4011,268.36:0.3650,3476.17:0.2842,3475.00:0.2652,4635.55:0.2311,878.52:0.2203,439.45:0.2110,3477.73:0.2099,4623.44:0.2017,3474.22:0.2004,878.12:0.1984,439.45:0.4084,3476.17:0.3721,268.36:0.3582,3475.00:0.3476,2195.70:0.2813,3477.73:0.2760,3474.22:0.2658,3481.25:0.2442,3478.52:0.2401,3483.20:0.2138,878.52:0.7886,878.12:0.7416,878.91:0.7117,3476.17:0.6588,3475.00:0.6100,1317.58:0.5463,2195.70:0.5239,1159.38:0.4903,3477.73:0.4900,3474.22:0.4664,119.92:0.3377,39.84:0.3115,80.08:0.3091,159.77:0.2365,200.00:0.2279,239.84:0.2120,40.23:0.1626,160.16:0.1434,79.69:0.1391,279.69:0.1226,439.45:0.5109,537.11:0.2272,878.91:0.2263,1125.39:0.2182,1125.00:0.2171,281.25:0.2163,1159.38:0.2154,878.12:0.2109,1124.61:0.2106,549.61:0.2064
439.45:0.5963,878.52:0.5652,439.06:0.4327,4636.72:0.3126,4638.67:0.3031,438.67:0.2506,878.91:0.2489,4639.45:0.2318,4637.89:0.2251,878.12:0.2123,40.23:9.6527,40.62:4.8421,39.84:2.5057,41.02:1.9262,39.45:1.3178,41.41:1.2215,39.06:0.9528,41.80:0.8817,38.67:0.7666,42.19:0.6894,268.36:0.5401,2318.75:0.2592,439.45:0.2386,878.52:0.2327,4636.72:0.2009,1159.38:0.2006,4638.67:0.1908,268.75:0.1865,439.06:0.1740,3478.12:0.1565,878.52:1.7076,1159.38:0.8162,1317.97:0.7976,878.91:0.7572,439.45:0.6810,878.12:0.6469,890.62:0.5841,1158.59:0.5760,1318.36:0.5563,1317.19:0.5419,878.52:0.5782,268.36:0.3876,4636.72:0.3236,4638.67:0.3061,1317.97:0.2967,878.91:0.2443,3478.12:0.2313,4637.89:0.2274,4638.28:0.2270,878.12:0.2153,2318.75:0.4819,3478.12:0.4541,3478.91:0.3858,268.36:0.3593,439.45:0.3259,2317.58:0.3144,2318.36:0.2668,2317.97:0.2597,3476.95:0.2553,2319.14:0.2461,878.52:1.2130,1317.97:0.9822,3478.12:0.8645,3478.91:0.7346,1318.36:0.6812,1317.19:0.6656,439.45:0.6289,2318.75:0.6283,878.91:0.5150,890.62:0.5107,119.92:0.3360,39.84:0.3135,80.08:0.2984,159.77:0.2519,239.84:0.2150,200.00:0.2136,40.23:0.1568,79.69:0.1513,279.69:0.1403,160.16:0.1247,1125.00:0.5413,878.52:0.4227,1125.39:0.2553,451.56:0.2412,1310.16:0.2408,549.61:0.2290,439.45:0.2021,878.91:0.1934,41.80:0.1902,878.12:0.1785
878.91:0.4915,439.45:0.4728,4639.06:0.2032,4635.55:0.1928,876.95:0.1850,4634.77:0.1703,4636.33:0.1690,880.47:0.1642,4632.81:0.1539,878.52:0.1512,40.62:8.4233,40.23:7.9532,41.02:2.7475,39.84:2.7023,39.45:1.6437,41.41:1.6253,39.06:1.2245,41.80:1.1669,38.67:1.1050,42.19:0.9005,268.36:0.4538,439.45:0.3894,268.75:0.3794,2317.19:0.2549,2319.14:0.2352,2317.58:0.2224,2321.09:0.2067,2318.75:0.2055,2315.62:0.1888,1159.38:0.1878,878.91:1.3533,1159.38:0.7746,1159.77:0.7369,439.45:0.6285,1157.81:0.6091,1318.36:0.5906,880.47:0.5045,876.95:0.4803,1147.27:0.4717,891.02:0.4661,878.91:0.4301,268.36:0.3061,268.75:0.2582,4639.06:0.2084,4636.33:0.1924,1318.36:0.1911,4635.55:0.1858,439.45:0.1844,3476.95:0.1728,5273.83:0.1709,439.45:0.4370,268.36:0.2878,3475.78:0.2868,3476.95:0.2700,3482.81:0.2586,268.75:0.2439,3477.73:0.2358,3479.30:0.2209,3482.42:0.2169,3476.56:0.2155,878.91:1.1156,1318.36:0.7535,1316.41:0.5356,3475.78:0.5277,1147.27:0.5200,3476.95:0.5007,3482.81:0.4756,1317.97:0.4569,1319.92:0.4364,3477.73:0.4315,119.92:0.3318,80.08:0.3177,39.84:0.3025,200.00:0.2440,159.77:0.2133,239.84:0.2048,40.23:0.1728,160.16:0.1717,79.69:0.1234,319.92:0.1159,1125.39:0.4220,439.45:0.3762,878.91:0.3701,537.11:0.2516,1125.00:0.2264,550.00:0.2195,1159.38:0.2145,880.47:0.2129,451.56:0.2114,1310.55:0.1980
439.06:0.5777,878.52:0.5727,439.45:0.4116,4637.11:0.3422,439.84:0.2860,4637.50:0.2591,878.91:0.2118,4638.67:0.2002,4637.89:0.1959,4633.98:0.1883,40.23:9.7600,40.62:4.7346,39.84:2.2766,41.02:1.9656,39.45:1.3518,41.41:1.2545,39.06:1.0014,41.80:0.8763,38.67:0.7235,42.19:0.7050,268.36:0.5650,439.06:0.2401,4637.11:0.2388,1158.98:0.2318,878.52:0.2294,2318.75:0.2141,2319.14:0.1934,2317.97:0.1850,439.45:0.1735,4637.50:0.1715,878.52:1.7417,1158.98:0.9677,890.62:0.8330,1317.58:0.8156,878.91:0.6656,439.06:0.6572,878.12:0.5702,268.36:0.5524,1318.36:0.5444,1159.77:0.5189,878.52:0.5938,268.36:0.4111,4637.11:0.3731,1317.58:0.2975,4637.50:0.2831,3558.20:0.2268,4633.98:0.2266,878.91:0.2226,4638.67:0.2061,1318.36:0.2039,2318.75:0.3919,3478.52:0.3790,268.36:0.3746,2319.14:0.3617,3476.56:0.3345,439.06:0.3271,2317.58:0.3261,3478.12:0.3167,3478.91:0.3075,2317.97:0.3074,878.52:1.2659,1317.58:0.9844,3478.52:0.7201,890.62:0.7035,1318.36:0.6653,1146.88:0.6425,3476.56:0.6408,3478.12:0.5998,1318.75:0.5963,439.06:0.5906,119.92:0.3391,39.84:0.3210,80.08:0.2910,159.77:0.2680,239.84:0.2145,200.00:0.1962,79.69:0.1655,279.69:0.1536,40.23:0.1468,199.61:0.1366,878.52:0.4175,1124.61:0.3554,1125.00:0.3442,1125.39:0.3199,1309.77:0.3134,549.61:0.2552,1083.20:0.2162,451.56:0.2083,439.06:0.2023,41.80:0.1930
878.12:0.5638,439.06:0.4266,4635.16:0.3215,4633.98:0.2409,268.36:0.1865,1158.59:0.1788,4636.72:0.1683,4637.50:0.1646,4632.42:0.1625,4632.03:0.1624,40.23:8.5392,40.62:8.3322,41.02:2.8418,39.84:2.7883,41.41:1.7166,39.45:1.6006,41.80:1.2374,39.06:1.1389,38.67:0.9522,42.19:0.9473,268.36:0.6603,2317.19:0.4361,439.06:0.4308,2318.36:0.3668,1158.59:0.2789,2316.41:0.2520,4635.16:0.2509,2317.58:0.2479,2316.80:0.2409,2317.97:0.2397,878.12:1.5404,1158.59:1.2331,1317.19:0.7139,1146.48:0.6255,268.36:0.6103,439.06:0.5868,1158.98:0.4520,1159.77:0.4385,4635.16:0.4257,1157.81:0.3772,878.12:0.4789,268.36:0.4342,4635.16:0.3295,3475.39:0.2706,1317.19:0.2439,439.06:0.2110,4633.98:0.2081,3475.78:0.2040,3476.56:0.2032,5269.14:0.2024,439.06:0.4642,268.36:0.4186,3475.39:0.4106,3476.56:0.3255,3475.78:0.3156,3476.95:0.2766,2317.19:0.2553,3475.00:0.2437,2318.36:0.2283,3477.73:0.2275,878.12:1.4244,1317.19:0.9187,3475.39:0.7461,1146.48:0.6824,3476.56:0.5910,3475.78:0.5673,1756.25:0.5566,3476.95:0.5015,268.36:0.4943,1158.59:0.4502,39.84:0.3318,119.92:0.3281,159.77:0.2949,80.08:0.2628,79.69:0.1965,199.61:0.1907,239.84:0.1892,279.69:0.1696,200.00:0.1409,40.23:0.1289,878.12:0.4694,439.06:0.4298,1309.77:0.2933,1082.81:0.2853,1124.22:0.2422,1124.61:0.2285,549.61:0.2283,1158.59:0.2232,549.22:0.2105,268.36:0.2026
439.06:0.4100,878.52:0.3599,878.91:0.2989,878.12:0.2846,268.36:0.1772,4634.38:0.1739,439.45:0.1716,4639.45:0.1680,4632.42:0.1666,4634.77:0.1619,40.23:8.9572,40.62:7.2225,39.84:2.6609,41.02:2.5867,41.41:1.5989,39.45:1.5523,41.80:1.1613,39.06:1.0590,38.67:1.0334,42.19:0.8483,268.36:0.6289,439.06:0.3264,2316.80:0.2628,2319.14:0.2477,2315.23:0.2241,1158.98:0.2007,2316.02:0.1985,2320.31:0.1979,2319.92:0.1763,2318.36:0.1584,878.52:1.0104,1158.98:0.8678,878.91:0.8451,878.12:0.8127,268.36:0.5922,439.06:0.5285,1159.38:0.5038,1158.59:0.4917,1317.58:0.4917,890.62:0.4219,268.36:0.4302,878.52:0.3198,878.91:0.2847,878.12:0.2492,3473.83:0.1820,4634.38:0.1810,4632.42:0.1704,4634.77:0.1675,3559.38:0.1658,4639.06:0.1655,268.36:0.4057,439.06:0.3741,3473.83:0.3016,3479.30:0.2954,3474.22:0.2539,3480.08:0.2372,2319.14:0.2348,3477.73:0.2300,3475.39:0.2261,2316.80:0.2159,878.52:0.8376,878.12:0.7229,878.91:0.6777,1317.58:0.6069,3473.83:0.5489,3479.30:0.5483,1317.97:0.4907,268.36:0.4799,3474.22:0.4674,1317.19:0.4660,119.92:0.3322,39.84:0.3222,80.08:0.2801,159.77:0.2748,239.84:0.2048,200.00:0.1768,79.69:0.1767,279.69:0.1583,199.61:0.1541,40.23:0.1424,1124.61:0.3590,549.61:0.2855,878.52:0.2836,439.06:0.2691,878.12:0.2436,878.91:0.2371,1125.00:0.2000,1082.81:0.1954,281.25:0.1890,439.45:0.1733
878.52:0.5415,439.45:0.4308,439.06:0.2692,4636.72:0.2418,878.91:0.2090,878.12:0.2000,4637.89:0.1885,4640.23:0.1772,4635.55:0.1740,1317.97:0.1709,40.23:8.7500,40.62:7.2642,39.84:2.8400,41.02:2.4989,39.45:1.6445,41.41:1.5011,39.06:1.1871,41.80:1.0904,38.67:0.8935,42.19:0.8639,268.36:0.5716,2317.97:0.3246,439.45:0.3045,2318.75:0.2948,1159.38:0.2550,268.75:0.2240,2318.36:0.2226,878.52:0.1986,4636.72:0.1882,2319.14:0.1876,878.52:1.5334,1159.38:1.1071,1317.97:0.8020,878.91:0.5825,878.12:0.5581,439.45:0.5377,268.36:0.5334,1158.59:0.5168,1147.27:0.4183,890.62:0.4051,878.52:0.4958,268.36:0.3885,1317.97:0.2711,4636.72:0.2489,3477.34:0.2221,4637.89:0.2130,4635.55:0.2015,878.91:0.1895,4640.23:0.1851,878.12:0.1849,3477.34:0.3941,268.36:0.3687,439.45:0.3603,2317.97:0.3273,2318.75:0.3142,3476.17:0.3083,3478.52:0.2889,3478.12:0.2477,439.06:0.2196,3477.73:0.2186,878.52:1.3086,1317.97:0.9865,3477.34:0.7274,3476.17:0.5679,3478.52:0.5305,878.91:0.5073,878.12:0.4860,3478.12:0.4573,1147.27:0.4407,268.36:0.4381,119.92:0.3398,39.84:0.3147,80.08:0.3041,159.77:0.2486,200.00:0.2210,239.84:0.2170,40.23:0.1589,79.69:0.1460,279.69:0.1356,160.16:0.1318,1125.00:0.6161,878.52:0.3903,1310.16:0.3412,549.61:0.2593,439.45:0.2520,1159.38:0.2391,451.56:0.2047,41.80:0.1941,1083.20:0.1940,281.25:0.1873
439.06:0.3069,879.30:0.2990,877.73:0.2442,4637.89:0.2240,877.34:0.1904,438.67:0.1807,439.45:0.1778,878.12:0.1748,4632.81:0.1711,268.36:0.1699,40.23:8.6457,40.62:8.0475,41.02:3.0268,39.84:2.6659,41.41:1.7525,39.45:1.6106,41.80:1.2695,38.67:1.1870,39.06:1.1094,42.19:0.8911,268.36:0.5928,439.06:0.3106,2314.84:0.2738,2317.58:0.2375,267.97:0.2201,268.75:0.2059,2318.75:0.1985,438.67:0.1924,4637.89:0.1899,2313.67:0.1874,879.30:0.8409,1159.77:0.6880,877.73:0.6583,1157.81:0.5537,268.36:0.5430,877.34:0.5108,1158.59:0.4851,878.12:0.4609,876.17:0.4600,1159.38:0.4341,268.36:0.3913,879.30:0.2604,3476.56:0.2219,4641.02:0.2144,4637.89:0.2120,877.73:0.2017,4632.81:0.1695,877.34:0.1637,3482.03:0.1583,439.06:0.1476,268.36:0.3732,3476.56:0.3464,439.06:0.3394,3482.03:0.2520,3477.73:0.2046,3479.30:0.2027,438.67:0.2017,3479.69:0.1976,3472.27:0.1966,3476.95:0.1910,879.30:0.7901,877.73:0.6471,3476.56:0.6283,876.17:0.5323,877.34:0.5094,3482.03:0.4756,1318.36:0.4578,268.36:0.4407,878.12:0.4402,1316.41:0.3977,39.84:0.3299,119.92:0.3247,159.77:0.2800,80.08:0.2669,79.69:0.1912,239.84:0.1792,199.61:0.1730,279.69:0.1487,200.00:0.1443,40.23:0.1325,439.06:0.3430,879.30:0.2820,1124.61:0.2264,1125.39:0.2248,438.67:0.2233,1123.44:0.2144,267.97:0.2022,1125.78:0.1976,876.17:0.1943,877.73:0.1907
878.52:0.6088,439.45:0.5783,439.06:0.4256,4638.28:0.3858,1317.97:0.2217,4636.33:0.2144,439.84:0.2130,4635.16:0.1995,4678.12:0.1897,4637.11:0.1756,40.23:9.6451,40.62:4.9610,39.84:2.4315,41.02:1.9567,39.45:1.3866,41.41:1.2520,39.06:1.0609,41.80:0.8681,38.67:0.7584,42.19:0.6999,268.36:0.5391,4638.28:0.2578,439.45:0.2478,878.52:0.2473,2318.36:0.2404,1159.38:0.2304,439.06:0.1796,268.75:0.1792,1317.97:0.1691,3478.91:0.1653,878.52:1.8498,1159.38:0.9744,1317.97:0.9623,439.45:0.6519,890.62:0.6378,1158.98:0.5703,268.36:0.5135,4638.28:0.4896,439.06:0.4811,878.91:0.4656,878.52:0.6216,4638.28:0.3984,268.36:0.3817,1317.97:0.3629,3478.91:0.2660,3558.98:0.2447,4678.12:0.2436,4636.33:0.2187,5272.66:0.2128,4635.16:0.1940,3478.91:0.5027,2318.36:0.4204,3477.73:0.3600,268.36:0.3513,439.45:0.3327,3558.98:0.3088,3477.34:0.2914,2318.75:0.2899,439.06:0.2466,2319.53:0.2438,878.52:1.3267,1317.97:1.1792,3478.91:0.9546,3477.73:0.6869,439.45:0.5835,3558.98:0.5662,890.62:0.5576,3477.34:0.5536,2318.36:0.5414,1146.88:0.5275,119.92:0.3378,39.84:0.3151,80.08:0.3004,159.77:0.2524,239.84:0.2158,200.00:0.2153,40.23:0.1569,79.69:0.1525,279.69:0.1401,160.16:0.1240,1125.00:0.4434,878.52:0.4383,1310.16:0.2826,549.61:0.2529,439.45:0.2525,451.56:0.2410,1083.20:0.2388,1124.61:0.2174,1486.72:0.2028,1309.77:0.1992
878.52:0.5574,439.06:0.3729,4637.50:0.2845,439.45:0.2835,4638.28:0.2149,268.36:0.1791,4634.38:0.1780,878.91:0.1751,878.12:0.1745,4635.16:0.1705,40.23:8.8544,40.62:7.2804,39.84:2.7078,41.02:2.6538,39.45:1.6334,41.41:1.5769,39.06:1.1869,41.80:1.1199,38.67:0.9393,42.19:0.8815,268.36:0.6240,2317.97:0.3277,439.06:0.2935,1158.98:0.2547,2318.75:0.2472,2319.53:0.2387,2316.41:0.2348,2318.36:0.2202,4637.50:0.2158,439.45:0.2125,878.52:1.5931,1158.98:1.0811,1317.58:0.6737,1146.88:0.6235,268.36:0.5827,890.62:0.5614,878.12:0.5112,878.91:0.5074,439.06:0.4710,1159.77:0.4463,878.52:0.4940,268.36:0.4268,3478.52:0.3009,4637.50:0.2697,1317.58:0.2316,3476.95:0.2024,5275.00:0.1996,4677.73:0.1963,3558.59:0.1936,4638.28:0.1779,3478.52:0.5069,268.36:0.4031,3476.95:0.3332,439.06:0.3323,3476.17:0.2926,2317.97:0.2653,439.45:0.2507,3558.59:0.2406,3475.00:0.2353,3475.39:0.2188,878.52:1.3575,3478.52:0.9379,1317.58:0.8494,1146.88:0.6704,3476.95:0.6160,3476.17:0.5475,268.36:0.4768,878.12:0.4739,878.91:0.4630,3558.59:0.4363,119.92:0.3385,39.84:0.3203,80.08:0.2909,159.77:0.2676,239.84:0.2151,200.00:0.1972,79.69:0.1642,279.69:0.1542,40.23:0.1475,199.61:0.1346,1125.00:0.4413,878.52:0.3869,1124.61:0.3098,549.61:0.2861,439.06:0.2662,1310.16:0.2578,1158.98:0.2412,1083.20:0.2349,1125.39:0.2264,281.25:0.1938
878.52:0.5172,439.06:0.3288,4634.38:0.2526,878.91:0.2341,439.45:0.2058,4636.72:0.1940,4638.67:0.1918,4637.89:0.1911,4637.50:0.1903,268.36:0.1901,40.23:8.4435,40.62:8.1496,41.02:2.8303,39.84:2.6294,39.45:1.7201,41.41:1.6623,41.80:1.1835,39.06:1.1749,38.67:0.9374,42.19:0.9190,268.36:0.6481,2318.75:0.4584,439.06:0.3176,2317.97:0.2710,1158.98:0.2576,2319.92:0.2426,2316.80:0.2228,439.45:0.2184,2319.14:0.2162,2316.41:0.1844,878.52:1.4290,1158.98:1.0892,878.91:0.6598,1317.58:0.6058,268.36:0.5907,1146.88:0.5834,1159.77:0.5251,878.12:0.4905,890.62:0.4773,439.06:0.4304,878.52:0.4531,268.36:0.4276,3475.39:0.2462,3477.73:0.2460,4634.38:0.2217,3478.91:0.2196,878.91:0.2079,1317.58:0.1989,4641.02:0.1644,4639.06:0.1627,268.36:0.4067,3477.73:0.3980,3475.39:0.3970,3478.91:0.3530,439.06:0.3419,2318.75:0.3336,3479.69:0.2568,439.45:0.2320,3476.95:0.2264,3478.12:0.2156,878.52:1.2800,1317.58:0.7814,3475.39:0.7349,3477.73:0.7248,1146.88:0.6656,3478.91:0.6444,878.91:0.5620,1318.36:0.5069,268.36:0.4790,3479.69:0.4627,119.92:0.3351,39.84:0.3189,80.08:0.2876,159.77:0.2673,239.84:0.2118,200.00:0.1928,79.69:0.1674,279.69:0.1541,40.23:0.1470,199.61:0.1392,1125.39:0.3918,1124.61:0.3610,878.52:0.3442,1125.00:0.3084,549.61:0.3001,439.06:0.2966,1158.98:0.2432,1310.16:0.2356,536.72:0.2134,281.25:0.1993
878.52:0.4952,439.45:0.3273,4636.72:0.2309,4637.50:0.2242,4639.06:0.2197,879.30:0.1998,439.06:0.1922,4639.45:0.1815,268.36:0.1751,1159.38:0.1745,40.62:8.9888,40.23:7.8365,41.02:2.9239,39.84:2.6077,41.41:1.7243,39.45:1.6545,41.80:1.2155,39.06:1.1242,38.67:0.9219,42.19:0.9204,268.36:0.5956,2318.36:0.4952,2319.14:0.3971,439.45:0.3431,1159.38:0.2744,2317.97:0.2591,2318.75:0.2351,268.75:0.2272,439.06:0.2173,2320.70:0.2015,878.52:1.3647,1159.38:1.1616,1317.97:0.6758,1158.98:0.5915,268.36:0.5385,879.30:0.5339,1159.77:0.5062,1146.88:0.4507,878.91:0.4399,439.45:0.4363,878.52:0.4230,268.36:0.3915,3477.34:0.2685,3477.73:0.2500,1317.97:0.2234,4636.72:0.2119,3478.52:0.2108,3480.08:0.2057,4637.50:0.2054,4639.45:0.1837,3477.34:0.4005,3477.73:0.3773,268.36:0.3723,439.45:0.3638,3478.52:0.3280,3480.08:0.3254,2318.36:0.3016,2319.14:0.2456,2196.48:0.2317,439.06:0.2299,878.52:1.2538,1317.97:0.8755,3477.34:0.7234,3477.73:0.6942,3480.08:0.5974,3478.52:0.5902,879.30:0.4893,1147.27:0.4694,1146.88:0.4570,2196.48:0.4472,119.92:0.3361,39.84:0.3119,80.08:0.3020,159.77:0.2465,200.00:0.2203,239.84:0.2155,40.23:0.1580,79.69:0.1496,279.69:0.1355,160.16:0.1284,1125.00:0.5539,878.52:0.3598,439.45:0.3342,1159.38:0.2860,549.61:0.2393,1310.55:0.2358,451.56:0.2042,439.06:0.2013,281.25:0.1949,41.80:0.1934
878.52:0.4370,439.06:0.3653,878.91:0.2908,439.45:0.2275,4634.38:0.2242,4640.62:0.2121,878.12:0.1977,4639.06:0.1906,4631.64:0.1825,268.36:0.1796,40.23:8.7858,40.62:7.4435,41.02:2.7629,39.84:2.6557,41.41:1.6354,39.45:1.5615,41.80:1.2004,39.06:1.0489,42.19:0.9178,38.67:0.8960,268.36:0.6323,2317.19:0.3944,439.06:0.3024,2318.75:0.2410,2319.92:0.2368,2319.14:0.2143,1158.98:0.1945,439.45:0.1878,2316.80:0.1783,4634.38:0.1703,878.52:1.2066,1158.98:0.8316,878.91:0.8105,268.36:0.5845,878.12:0.5295,439.06:0.4725,1158.20:0.4675,890.62:0.4555,1317.58:0.4516,1159.77:0.4300,268.36:0.4271,878.52:0.3959,878.91:0.2634,4640.62:0.2108,3475.39:0.2049,3479.69:0.1920,878.12:0.1839,4639.06:0.1737,3472.66:0.1661,4641.02:0.1622,268.36:0.4022,3475.39:0.3474,439.06:0.3413,2317.19:0.3193,3479.69:0.3080,3472.66:0.2661,3476.17:0.2529,3482.03:0.2392,3481.64:0.2251,3475.78:0.2127,878.52:1.0578,878.91:0.6945,3475.39:0.6530,1317.58:0.5921,3479.69:0.5742,3472.66:0.4972,1146.88:0.4777,268.36:0.4762,878.12:0.4743,3476.17:0.4691,119.92:0.3370,39.84:0.3217,80.08:0.2879,159.77:0.2693,239.84:0.2105,200.00:0.1898,79.69:0.1682,279.69:0.1536,40.23:0.1453,199.61:0.1405,1125.00:0.3413,878.52:0.3314,1125.39:0.3056,439.06:0.2940,878.91:0.2605,549.61:0.2551,281.25:0.1945,41.80:0.1887,878.12:0.1822,536.72:0.1814
439.45:0.4903,878.91:0.3496,878.52:0.2842,878.12:0.2496,877.73:0.2042,4636.33:0.1911,4637.50:0.1794,4643.36:0.1770,4638.67:0.1713,4634.38:0.1581,40.23:8.7879,40.62:7.0008,39.84:2.8766,41.02:2.3903,39.45:1.6798,41.41:1.4293,41.80:1.0822,39.06:1.0788,42.19:0.8668,38.67:0.7461,268.36:0.4907,439.45:0.3226,268.75:0.2981,2318.75:0.2177,2319.53:0.2042,267.97:0.1983,2321.09:0.1884,2316.80:0.1866,1159.38:0.1812,2315.62:0.1742,878.91:1.0352,878.52:0.8413,1159.38:0.8093,878.12:0.7297,877.73:0.6181,439.45:0.5972,1160.55:0.5441,1157.81:0.4825,891.02:0.4806,1159.77:0.4799,268.36:0.3389,878.91:0.3283,878.52:0.2596,878.12:0.2333,268.75:0.2057,4638.67:0.1920,877.73:0.1897,4643.36:0.1781,3478.12:0.1731,4636.33:0.1717,439.45:0.3817,3478.12:0.3184,268.36:0.3169,3476.56:0.2814,3478.91:0.2491,3482.81:0.2429,3480.86:0.2425,3480.08:0.2234,3477.34:0.2204,2318.75:0.2164,878.91:0.8061,878.52:0.6725,878.12:0.6103,3478.12:0.5963,877.73:0.5309,3476.56:0.5205,1317.97:0.5148,1318.36:0.4896,1319.14:0.4847,3478.91:0.4604,119.92:0.3351,80.08:0.3103,39.84:0.3087,200.00:0.2307,159.77:0.2303,239.84:0.2094,40.23:0.1663,160.16:0.1529,79.69:0.1330,279.69:0.1168,1125.39:0.3844,439.45:0.3151,878.91:0.2648,1125.00:0.2284,451.56:0.2139,878.12:0.2094,41.80:0.1984,879.69:0.1919,878.52:0.1900,281.25:0.1797
878.52:0.5111,4636.72:0.3118,439.45:0.3108,439.06:0.2077,4637.89:0.2018,879.69:0.1880,268.36:0.1682,1159.38:0.1681,4637.11:0.1601,877.34:0.1537,40.62:8.7277,40.23:8.0001,41.02:2.8399,39.84:2.7342,41.41:1.7383,39.45:1.5322,41.80:1.1895,39.06:1.1801,42.19:0.9615,38.67:0.8219,268.36:0.6000,2319.53:0.4188,439.45:0.3237,2317.19:0.3190,2320.31:0.2413,1159.38:0.2376,2318.75:0.2339,439.06:0.2307,4636.72:0.2251,268.75:0.2010,878.52:1.4397,1159.38:1.0480,1160.16:0.6065,1317.97:0.5922,879.69:0.5606,268.36:0.5498,1158.98:0.4992,877.34:0.4356,1146.88:0.4214,1158.20:0.4155,878.52:0.4411,268.36:0.3972,4636.72:0.2540,3478.52:0.2477,1317.97:0.1930,5271.09:0.1845,3476.56:0.1829,3479.69:0.1705,879.69:0.1702,3477.34:0.1695,3478.52:0.3933,268.36:0.3823,439.45:0.3412,3476.56:0.2941,2319.53:0.2787,3477.34:0.2743,3479.69:0.2562,3478.91:0.2560,439.06:0.2445,3480.47:0.2354,878.52:1.3068,1317.97:0.7670,3478.52:0.7241,3476.56:0.5384,3477.34:0.4989,879.69:0.4828,3479.69:0.4761,3478.91:0.4675,1146.88:0.4480,268.36:0.4466,119.92:0.3404,39.84:0.3162,80.08:0.3026,159.77:0.2519,200.00:0.2175,239.84:0.2171,40.23:0.1562,79.69:0.1502,279.69:0.1387,160.16:0.1238,1125.00:0.5424,878.52:0.3626,439.45:0.2980,1159.38:0.2778,549.61:0.2577,879.69:0.2394,439.06:0.2218,1310.55:0.2068,281.25:0.1997,41.80:0.1962
